beta,delta,mape
0.4596,1.0916,0.6590307354927063
0.4596,1.1232,0.734825849533081
0.4596,1.1548,0.8315523266792297
0.4596,1.1864,0.9661539196968079
0.4596,1.2180,1.1660053730010986
0.4912,0.2700,0.38989806175231934
0.4912,0.3016,0.12702809274196625
0.4912,0.3332,0.012611894868314266
0.4912,0.3648,0.06651782989501953
0.4912,0.3964,0.12514936923980713
0.4912,0.4280,0.14451907575130463
0.4912,0.4596,0.1360197812318802
0.4912,0.4912,0.11857886612415314
0.4912,0.5228,0.10144385695457458
0.4912,0.5544,0.0962027981877327
0.4912,0.5860,0.0912357047200203
0.4912,0.6176,0.09625116735696793
0.4912,0.6492,0.10883872210979462
0.4912,0.6808,0.1236555427312851
0.4912,0.7124,0.150399312376976
0.4912,0.7440,0.19923272728919983
0.4912,0.7756,0.2506423890590668
0.4912,0.8072,0.20794276893138885
0.4912,0.8388,0.1988627314567566
0.4912,0.8704,0.2063477784395218
0.4912,0.9020,0.2292943149805069
0.4912,0.9336,0.2605137228965759
0.4912,0.9652,0.29759740829467773
0.4912,0.9968,0.3390331268310547
0.4912,1.0284,0.37866878509521484
0.4912,1.0600,0.4262710511684418
0.4912,1.0916,0.4668661952018738
0.4912,1.1232,0.522054135799408
0.4912,1.1548,0.5830116271972656
0.4912,1.1864,0.655150294303894
0.4912,1.2180,0.7586557269096375
0.5228,0.2700,0.35272425413131714
0.5228,0.3016,0.1067139059305191
0.5228,0.3332,0.06601949036121368
0.5228,0.3648,0.05379969999194145
0.5228,0.3964,0.110137440264225
0.5228,0.4280,0.14156003296375275
0.5228,0.4596,0.1361362338066101
0.5228,0.4912,0.11608392745256424
0.5228,0.5228,0.09532900899648666
0.5228,0.5544,0.08300240337848663
0.5228,0.5860,0.077743299305439
0.5228,0.6176,0.07870732992887497
0.5228,0.6492,0.09105508029460907
0.5228,0.6808,0.1119888573884964
0.5228,0.7124,0.17533087730407715
0.5228,0.7440,0.13614417612552643
0.5228,0.7756,0.12193261086940765
0.5228,0.8072,0.12605354189872742
0.5228,0.8388,0.13363663852214813
0.5228,0.8704,0.14778003096580505
0.5228,0.9020,0.1671140342950821
0.5228,0.9336,0.19409576058387756
0.5228,0.9652,0.2188633531332016
0.5228,0.9968,0.2439449280500412
0.5228,1.0284,0.27736568450927734
0.5228,1.0600,5.249769687652588
0.5228,1.0916,5.670074939727783
0.5228,1.1232,6.03823184967041
0.5228,1.1548,6.56189489364624
0.5228,1.1864,7.115642070770264
0.5228,1.2180,7.706929683685303
0.5544,0.2700,0.2680458426475525
0.5544,0.3016,0.10970228165388107
0.5544,0.3332,0.1102069690823555
0.5544,0.3648,0.09608891606330872
0.5544,0.3964,0.10474301874637604
0.5544,0.4280,0.11850249022245407
0.5544,0.4596,0.11750581860542297
0.5544,0.4912,0.10004168748855591
0.5544,0.5228,0.08380723744630814
0.5544,0.5544,0.0746065080165863
0.5544,0.5860,0.0742003470659256
0.5544,0.6176,0.07485301792621613
0.5544,0.6492,0.12071500718593597
0.5544,0.6808,0.09948347508907318
0.5544,0.7124,0.07852787524461746
0.5544,0.7440,0.06942738592624664
0.5544,0.7756,0.07299978286027908
0.5544,0.8072,0.08102509379386902
0.5544,0.8388,0.08959726989269257
0.5544,0.8704,0.102134108543396
0.5544,0.9020,0.12580659985542297
0.5544,0.9336,0.1483549028635025
0.5544,0.9652,4.26694917678833
0.5544,0.9968,4.639151573181152
0.5544,1.0284,5.010022163391113
0.5544,1.0600,5.393675327301025
0.5544,1.0916,5.77909517288208
0.5544,1.1232,6.105969429016113
0.5544,1.1548,6.543375492095947
0.5544,1.1864,7.045952320098877
0.5544,1.2180,7.576929092407227
0.5860,0.2700,0.16197068989276886
0.5860,0.3016,0.11233921349048615
0.5860,0.3332,0.14839383959770203
0.5860,0.3648,0.15071648359298706
0.5860,0.3964,0.1165706068277359
0.5860,0.4280,0.11002688854932785
0.5860,0.4596,0.10164092481136322
0.5860,0.4912,0.08049346506595612
0.5860,0.5228,0.06745016574859619
0.5860,0.5544,0.06586465239524841
0.5860,0.5860,0.10288488864898682
0.5860,0.6176,0.08202917128801346
0.5860,0.6492,0.06254157423973083
0.5860,0.6808,0.053407154977321625
0.5860,0.7124,0.04876304045319557
0.5860,0.7440,0.0535995177924633
0.5860,0.7756,0.061071936041116714
0.5860,0.8072,0.06864724308252335
0.5860,0.8388,0.07968401908874512
0.5860,0.8704,0.09364121407270432
0.5860,0.9020,0.0992344543337822
0.5860,0.9336,0.12356503307819366
0.5860,0.9652,4.509800434112549
0.5860,0.9968,4.844498157501221
0.5860,1.0284,5.1747660636901855
0.5860,1.0600,5.561657428741455
0.5860,1.0916,5.929398059844971
0.5860,1.1232,6.3038225173950195
0.5860,1.1548,6.63466739654541
0.5860,1.1864,7.085455894470215
0.5860,1.2180,7.602513313293457
0.6176,0.2700,0.10890468955039978
0.6176,0.3016,0.12487807869911194
0.6176,0.3332,0.16577467322349548
0.6176,0.3648,0.17843632400035858
0.6176,0.3964,0.14138595759868622
0.6176,0.4280,0.10938126593828201
0.6176,0.4596,0.11838596314191818
0.6176,0.4912,0.0938558354973793
0.6176,0.5228,0.0906192809343338
0.6176,0.5544,0.08364947140216827
0.6176,0.5860,0.07304307073354721
0.6176,0.6176,0.06505560129880905
0.6176,0.6492,0.06016431376338005
0.6176,0.6808,0.06356870383024216
0.6176,0.7124,0.07315326482057571
0.6176,0.7440,0.08914366364479065
0.6176,0.7756,0.10702688246965408
0.6176,0.8072,0.11206391453742981
0.6176,0.8388,0.11924836039543152
0.6176,0.8704,0.12470146268606186
0.6176,0.9020,0.1311653107404709
0.6176,0.9336,0.11512082815170288
0.6176,0.9652,4.722912788391113
0.6176,0.9968,5.0574774742126465
0.6176,1.0284,5.384580612182617
0.6176,1.0600,5.759537220001221
0.6176,1.0916,6.13826322555542
0.6176,1.1232,6.5184550285339355
0.6176,1.1548,6.837082386016846
